local_datetime,canopy_cover,species,site,method
,100,Unknown,393_55,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,269_23,Green Canopy Cover Estimation from Field Scanner RGB images
,99.5,Unknown,369_37,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,79_18,Green Canopy Cover Estimation from Field Scanner RGB images
,83.8,Unknown,207_7,Green Canopy Cover Estimation from Field Scanner RGB images
,91.7,Unknown,55_32,Green Canopy Cover Estimation from Field Scanner RGB images
,95.7,Unknown,316_69,Green Canopy Cover Estimation from Field Scanner RGB images
,99.4,Unknown,199_23,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,354_7,Green Canopy Cover Estimation from Field Scanner RGB images
,99.8,Unknown,423_5,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,152_23,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,276_9,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,404_34,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,56_30,Green Canopy Cover Estimation from Field Scanner RGB images
,99.1,Unknown,22_44,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,208_6,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,403_36,Green Canopy Cover Estimation from Field Scanner RGB images
,91.6,Unknown,27_54,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,359_17,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,181_60,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,48_45,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,64_14,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,14_28,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,103_66,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,143_5,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,81_22,Green Canopy Cover Estimation from Field Scanner RGB images
,96.6,Unknown,193_35,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,358_16,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,402_37,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,264_33,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,73_6,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,401_40,Green Canopy Cover Estimation from Field Scanner RGB images
,98.8,Unknown,38_65,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,12_23,Green Canopy Cover Estimation from Field Scanner RGB images
,97.3,Unknown,364_27,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,408_26,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,98_55,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,18_35,Green Canopy Cover Estimation from Field Scanner RGB images
,96.2,Unknown,313_65,Green Canopy Cover Estimation from Field Scanner RGB images
,93.5,Unknown,55_31,Green Canopy Cover Estimation from Field Scanner RGB images
,98.1,Unknown,170_60,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,215_9,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,112_57,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,84_28,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,128_25,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,152_24,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,131_19,Green Canopy Cover Estimation from Field Scanner RGB images
,90.5,Unknown,65_12,Green Canopy Cover Estimation from Field Scanner RGB images
,92.8,Unknown,24_48,Green Canopy Cover Estimation from Field Scanner RGB images
,96.9,Unknown,165_50,Green Canopy Cover Estimation from Field Scanner RGB images
,98.8,Unknown,2_4,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,433_26,Green Canopy Cover Estimation from Field Scanner RGB images
,97.2,Unknown,108_65,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,298_35,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,376_51,Green Canopy Cover Estimation from Field Scanner RGB images
,88.6,Unknown,247_68,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,45_51,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,81_21,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,40_61,Green Canopy Cover Estimation from Field Scanner RGB images
,98.8,Unknown,343_15,Green Canopy Cover Estimation from Field Scanner RGB images
,94.4,Unknown,171_62,Green Canopy Cover Estimation from Field Scanner RGB images
,98.4,Unknown,406_30,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,374_48,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,202_18,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,365_29,Green Canopy Cover Estimation from Field Scanner RGB images
,99.6,Unknown,320_62,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,293_26,Green Canopy Cover Estimation from Field Scanner RGB images
,94,Unknown,220_19,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,16_31,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,73_5,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,107_68,Green Canopy Cover Estimation from Field Scanner RGB images
,96.2,Unknown,336_30,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,446_51,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,405_31,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,150_20,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,355_9,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,415_11,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,260_41,Green Canopy Cover Estimation from Field Scanner RGB images
,98.3,Unknown,239_57,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,158_36,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,363_25,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,29_58,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,438_36,Green Canopy Cover Estimation from Field Scanner RGB images
,97.3,Unknown,69_4,Green Canopy Cover Estimation from Field Scanner RGB images
,96.6,Unknown,109_64,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,221_21,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,282_4,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,101_62,Green Canopy Cover Estimation from Field Scanner RGB images
,95.6,Unknown,218_16,Green Canopy Cover Estimation from Field Scanner RGB images
,86.2,Unknown,115_51,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,183_55,Green Canopy Cover Estimation from Field Scanner RGB images
,99.5,Unknown,210_2,Green Canopy Cover Estimation from Field Scanner RGB images
,89.9,Unknown,304_48,Green Canopy Cover Estimation from Field Scanner RGB images
,98.8,Unknown,215_10,Green Canopy Cover Estimation from Field Scanner RGB images
,99.6,Unknown,442_44,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,360_20,Green Canopy Cover Estimation from Field Scanner RGB images
,98.4,Unknown,424_7,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,431_22,Green Canopy Cover Estimation from Field Scanner RGB images
,91.7,Unknown,218_15,Green Canopy Cover Estimation from Field Scanner RGB images
,96.9,Unknown,241_61,Green Canopy Cover Estimation from Field Scanner RGB images
,98,Unknown,22_43,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,276_10,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,176_69,Green Canopy Cover Estimation from Field Scanner RGB images
,98.4,Unknown,443_45,Green Canopy Cover Estimation from Field Scanner RGB images
,97,Unknown,266_30,Green Canopy Cover Estimation from Field Scanner RGB images
,99.1,Unknown,389_64,Green Canopy Cover Estimation from Field Scanner RGB images
,93.4,Unknown,229_37,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,185_51,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,368_35,Green Canopy Cover Estimation from Field Scanner RGB images
,98.9,Unknown,220_20,Green Canopy Cover Estimation from Field Scanner RGB images
,99.6,Unknown,200_22,Green Canopy Cover Estimation from Field Scanner RGB images
,99.5,Unknown,34_67,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,427_14,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,282_3,Green Canopy Cover Estimation from Field Scanner RGB images
,97.6,Unknown,69_3,Green Canopy Cover Estimation from Field Scanner RGB images
,99.2,Unknown,75_9,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,198_26,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,98_56,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,448_55,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,97_53,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,122_38,Green Canopy Cover Estimation from Field Scanner RGB images
,99.8,Unknown,26_52,Green Canopy Cover Estimation from Field Scanner RGB images
,98.4,Unknown,325_52,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,205_11,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,124_33,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,263_35,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,432_23,Green Canopy Cover Estimation from Field Scanner RGB images
,98.9,Unknown,235_50,Green Canopy Cover Estimation from Field Scanner RGB images
,96.8,Unknown,1_1,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,157_34,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,328_46,Green Canopy Cover Estimation from Field Scanner RGB images
,85.9,Unknown,315_70,Green Canopy Cover Estimation from Field Scanner RGB images
,98.4,Unknown,175_70,Green Canopy Cover Estimation from Field Scanner RGB images
,99.8,Unknown,201_20,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,231_42,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,13_25,Green Canopy Cover Estimation from Field Scanner RGB images
,98.2,Unknown,74_7,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,93_45,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,101_61,Green Canopy Cover Estimation from Field Scanner RGB images
,85.5,Unknown,243_66,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,231_41,Green Canopy Cover Estimation from Field Scanner RGB images
,99.4,Unknown,3_5,Green Canopy Cover Estimation from Field Scanner RGB images
,97.7,Unknown,350_2,Green Canopy Cover Estimation from Field Scanner RGB images
,99.2,Unknown,159_38,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,404_33,Green Canopy Cover Estimation from Field Scanner RGB images
,99.4,Unknown,446_52,Green Canopy Cover Estimation from Field Scanner RGB images
,98.7,Unknown,93_46,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,209_3,Green Canopy Cover Estimation from Field Scanner RGB images
,87.5,Unknown,450_59,Green Canopy Cover Estimation from Field Scanner RGB images
,92.8,Unknown,315_69,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,35_70,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,358_15,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,149_18,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,190_41,Green Canopy Cover Estimation from Field Scanner RGB images
,97.4,Unknown,252_57,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,379_58,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,435_30,Green Canopy Cover Estimation from Field Scanner RGB images
,99.1,Unknown,398_45,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,88_36,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,345_12,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,139_3,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,85_29,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,62_17,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,285_10,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,394_54,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,290_20,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,380_59,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,64_13,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,41_59,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,426_11,Green Canopy Cover Estimation from Field Scanner RGB images
,98.5,Unknown,408_25,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,371_42,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,428_15,Green Canopy Cover Estimation from Field Scanner RGB images
,98.7,Unknown,226_31,Green Canopy Cover Estimation from Field Scanner RGB images
,98.4,Unknown,116_49,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,242_64,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,421_2,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,79_17,Green Canopy Cover Estimation from Field Scanner RGB images
,99.2,Unknown,434_27,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,227_34,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,409_23,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,397_48,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,279_4,Green Canopy Cover Estimation from Field Scanner RGB images
,84.1,Unknown,78_15,Green Canopy Cover Estimation from Field Scanner RGB images
,87.6,Unknown,203_15,Green Canopy Cover Estimation from Field Scanner RGB images
,99.2,Unknown,205_12,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,60_21,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,253_55,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,182_57,Green Canopy Cover Estimation from Field Scanner RGB images
,90.9,Unknown,167_54,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,263_36,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,95_50,Green Canopy Cover Estimation from Field Scanner RGB images
,96.3,Unknown,313_66,Green Canopy Cover Estimation from Field Scanner RGB images
,98.1,Unknown,8_16,Green Canopy Cover Estimation from Field Scanner RGB images
,96.2,Unknown,155_30,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,32_64,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,221_22,Green Canopy Cover Estimation from Field Scanner RGB images
,80.7,Unknown,385_70,Green Canopy Cover Estimation from Field Scanner RGB images
,91.9,Unknown,27_53,Green Canopy Cover Estimation from Field Scanner RGB images
,99.5,Unknown,180_61,Green Canopy Cover Estimation from Field Scanner RGB images
,99.8,Unknown,257_48,Green Canopy Cover Estimation from Field Scanner RGB images
,98.8,Unknown,5_9,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,195_31,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,345_11,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,261_40,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,141_1,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,72_3,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,370_39,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,129_23,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,87_34,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,376_52,Green Canopy Cover Estimation from Field Scanner RGB images
,99.3,Unknown,199_24,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,236_51,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,56_29,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,162_43,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,17_33,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,104_67,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,97_54,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,20_40,Green Canopy Cover Estimation from Field Scanner RGB images
,96.5,Unknown,228_36,Green Canopy Cover Estimation from Field Scanner RGB images
,99.3,Unknown,289_18,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,274_13,Green Canopy Cover Estimation from Field Scanner RGB images
,96.9,Unknown,326_50,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,400_41,Green Canopy Cover Estimation from Field Scanner RGB images
,99.5,Unknown,372_44,Green Canopy Cover Estimation from Field Scanner RGB images
,99.5,Unknown,389_63,Green Canopy Cover Estimation from Field Scanner RGB images
,99.7,Unknown,251_60,Green Canopy Cover Estimation from Field Scanner RGB images
,86.2,Unknown,186_49,Green Canopy Cover Estimation from Field Scanner RGB images
,98.5,Unknown,80_19,Green Canopy Cover Estimation from Field Scanner RGB images
,99.5,Unknown,255_51,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,438_35,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,409_24,Green Canopy Cover Estimation from Field Scanner RGB images
,98.2,Unknown,245_70,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,156_31,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,59_24,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,427_13,Green Canopy Cover Estimation from Field Scanner RGB images
,98.7,Unknown,158_35,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,86_32,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,191_39,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,187_47,Green Canopy Cover Estimation from Field Scanner RGB images
,99.4,Unknown,150_19,Green Canopy Cover Estimation from Field Scanner RGB images
,97.7,Unknown,235_49,Green Canopy Cover Estimation from Field Scanner RGB images
,100,Unknown,424_8,Green Canopy Cover Estimation from Field Scanner RGB images
,99.4,Unknown,258_46,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,147_13,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,287_13,Green Canopy Cover Estimation from Field Scanner RGB images
,99.8,Unknown,346_9,Green Canopy Cover Estimation from Field Scanner RGB images
,98.8,Unknown,74_8,Green Canopy Cover Estimation from Field Scanner RGB images
,99.9,Unknown,117_48,Green Canopy Cover Estimation from Field Scanner RGB images
,99.8,Unknown,291_21,Green Canopy Cover Estimation from Field Scanner RGB images
