local_datetime,canopy_cover,species,site,method
2019-06-25T12:00:00,99.8,Unknown,MAC Field Scanner Season 6 Range 30 Column 3,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,100,Unknown,MAC Field Scanner Season 6 Range 34 Column 2 E,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.5,Unknown,MAC Field Scanner Season 6 Range 9 Column 1,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,100,Unknown,MAC Field Scanner Season 6 Range 33 Column 14 W,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,100,Unknown,MAC Field Scanner Season 6 Range 26 Column 3 W,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,100,Unknown,MAC Field Scanner Season 6 Range 53 Column 8,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.6,Unknown,MAC Field Scanner Season 6 Range 40 Column 14 E,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.5,Unknown,MAC Field Scanner Season 6 Range 19 Column 12 E,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.8,Unknown,MAC Field Scanner Season 6 Range 54 Column 2 E,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.9,Unknown,MAC Field Scanner Season 6 Range 4 Column 14 E,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,98.8,Unknown,MAC Field Scanner Season 6 Range 42 Column 7 W,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,100,Unknown,MAC Field Scanner Season 6 Range 33 Column 3 E,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.6,Unknown,MAC Field Scanner Season 6 Range 33 Column 1,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.9,Unknown,MAC Field Scanner Season 6 Range 17 Column 9 E,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.7,Unknown,MAC Field Scanner Season 6 Range 27 Column 12 W,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,96.9,Unknown,MAC Field Scanner Season 6 Range 51 Column 15,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.4,Unknown,MAC Field Scanner Season 6 Range 22 Column 4 E,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,100,Unknown,MAC Field Scanner Season 6 Range 33 Column 7 E,Green Canopy Cover Estimation from Field Scanner RGB images
2019-06-25T12:00:00,99.9,Unknown,MAC Field Scanner Season 6 Range 49 Column 11 W,Green Canopy Cover Estimation from Field Scanner RGB images
