local_datetime,canopy_cover,species,site,method
2020-10-14T12:00:00,0.121,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-14T12:00:00,2.66,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-14T12:00:00,38.7,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-14T12:00:00,0.0286,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-09-30T12:00:00,0.0123,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-09-30T12:00:00,0.000328,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-09-30T12:00:00,0.163,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-09-30T12:00:00,0.0162,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,5.23,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,29.2,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,80.3,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,4.8,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,5.23,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,29.2,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,80.3,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,4.8,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,5.23,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,29.2,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,80.3,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-23T12:00:00,4.8,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,2.18,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,17.4,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,74.8,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,0.712,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,2.18,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,17.4,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,74.8,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,0.712,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,2.18,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,17.4,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,74.8,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-21T12:00:00,0.712,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-07T12:00:00,0,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-07T12:00:00,0.362,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-07T12:00:00,18,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-07T12:00:00,0.00693,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-13T12:00:00,0.0518,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-13T12:00:00,1.76,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-13T12:00:00,39.8,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-13T12:00:00,0.0114,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,4.13,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,23,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,81.2,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,2.39,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,4.13,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,23,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,81.2,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,2.39,Lactuca sativa var. longifolia,9,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,4.13,Lactuca sativa var. longifolia,10,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,23,Lactuca sativa var. longifolia,3,Green Canopy Cover Estimation from Field Scanner RGB images
2020-10-22T12:00:00,81.2,Brassica oleracea var. italica,4,Green Canopy Cover Estimation from Field Scanner RGB images
